dataset,rank,method,score
46_WPBC,2.0,IForest,0.927 ± 0.085
46_WPBC,3.0,CBLOF,0.922 ± 0.068
46_WPBC,4.0,SOD,0.917 ± 0.093
46_WPBC,5.0,KNN,0.916 ± 0.115
46_WPBC,6.0,LODA,0.887 ± 0.138
46_WPBC,7.0,PCA,0.882 ± 0.160
46_WPBC,8.0,HBOS,0.873 ± 0.175
46_WPBC,9.0,COPOD,0.862 ± 0.174
46_WPBC,10.0,OCSVM,0.853 ± 0.148
46_WPBC,11.0,COF,0.850 ± 0.225
46_WPBC,12.0,LOF,0.845 ± 0.279
46_WPBC,13.0,ECOD,0.844 ± 0.178
46_WPBC,14.0,DAGMM,0.771 ± 0.118
47_yeast,1.0,IForest,0.904 ± 0.084
47_yeast,2.0,KNN,0.878 ± 0.125
47_yeast,3.0,ECOD,0.875 ± 0.134
47_yeast,4.0,MSDE,0.875 ± 0.089
47_yeast,5.0,OCSVM,0.864 ± 0.109
47_yeast,6.0,PCA,0.858 ± 0.120
47_yeast,7.0,HBOS,0.836 ± 0.141
47_yeast,8.0,CBLOF,0.834 ± 0.149
47_yeast,9.0,COPOD,0.830 ± 0.151
47_yeast,10.0,DAGMM,0.785 ± 0.076
47_yeast,11.0,LODA,0.776 ± 0.169
47_yeast,12.0,SOD,0.761 ± 0.188
47_yeast,13.0,COF,0.721 ± 0.173
47_yeast,14.0,LOF,0.647 ± 0.198
4_breastw,1.0,LODA,0.840 ± 0.195
4_breastw,2.0,PCA,0.839 ± 0.188
4_breastw,3.0,MSDE,0.836 ± 0.139
4_breastw,4.0,COPOD,0.827 ± 0.207
4_breastw,5.0,HBOS,0.813 ± 0.212
4_breastw,6.0,IForest,0.801 ± 0.143
4_breastw,7.0,KNN,0.780 ± 0.166
4_breastw,8.0,ECOD,0.780 ± 0.173
4_breastw,9.0,OCSVM,0.760 ± 0.159
4_breastw,10.0,CBLOF,0.739 ± 0.209
4_breastw,11.0,DAGMM,0.733 ± 0.121
4_breastw,12.0,SOD,0.725 ± 0.207
4_breastw,13.0,COF,0.656 ± 0.174
4_breastw,14.0,LOF,0.622 ± 0.208
5_campaign,1.0,MSDE,0.977 ± 0.039
5_campaign,2.0,CBLOF,0.966 ± 0.054
5_campaign,3.0,PCA,0.948 ± 0.099
5_campaign,4.0,IForest,0.947 ± 0.095
5_campaign,5.0,OCSVM,0.936 ± 0.128
5_campaign,6.0,ECOD,0.931 ± 0.134
5_campaign,7.0,COPOD,0.930 ± 0.132
5_campaign,8.0,HBOS,0.929 ± 0.132
5_campaign,9.0,KNN,0.920 ± 0.114
5_campaign,10.0,LODA,0.918 ± 0.152
5_campaign,11.0,SOD,0.857 ± 0.213
5_campaign,12.0,DAGMM,0.822 ± 0.213
5_campaign,13.0,LOF,0.799 ± 0.381
5_campaign,14.0,COF,0.779 ± 0.411
6_cardio,1.0,CBLOF,0.966 ± 0.034
6_cardio,2.0,MSDE,0.966 ± 0.035
6_cardio,3.0,KNN,0.946 ± 0.054
6_cardio,4.0,IForest,0.939 ± 0.078
6_cardio,5.0,COF,0.899 ± 0.145
6_cardio,6.0,OCSVM,0.898 ± 0.157
6_cardio,7.0,LODA,0.896 ± 0.139
6_cardio,8.0,PCA,0.893 ± 0.146
6_cardio,9.0,ECOD,0.893 ± 0.172
6_cardio,10.0,SOD,0.887 ± 0.109
6_cardio,11.0,HBOS,0.885 ± 0.174
6_cardio,12.0,LOF,0.883 ± 0.210
6_cardio,13.0,COPOD,0.883 ± 0.162
6_cardio,14.0,DAGMM,0.819 ± 0.146
7_Cardiotocography,1.0,MSDE,0.956 ± 0.049
7_Cardiotocography,2.0,IForest,0.931 ± 0.098
7_Cardiotocography,3.0,KNN,0.907 ± 0.126
7_Cardiotocography,4.0,OCSVM,0.891 ± 0.183
7_Cardiotocography,5.0,PCA,0.890 ± 0.168
7_Cardiotocography,6.0,HBOS,0.883 ± 0.184
7_Cardiotocography,7.0,COPOD,0.883 ± 0.178
7_Cardiotocography,8.0,ECOD,0.879 ± 0.177
7_Cardiotocography,9.0,LODA,0.879 ± 0.168
7_Cardiotocography,10.0,CBLOF,0.869 ± 0.164
7_Cardiotocography,11.0,SOD,0.856 ± 0.161
7_Cardiotocography,12.0,LOF,0.833 ± 0.296
7_Cardiotocography,13.0,COF,0.822 ± 0.297
7_Cardiotocography,14.0,DAGMM,0.798 ± 0.175
8_celeba,1.0,MSDE,0.992 ± 0.015
8_celeba,2.0,KNN,0.975 ± 0.032
8_celeba,3.0,CBLOF,0.971 ± 0.057
8_celeba,4.0,IForest,0.945 ± 0.094
8_celeba,5.0,PCA,0.917 ± 0.155
8_celeba,6.0,OCSVM,0.916 ± 0.165
8_celeba,7.0,LODA,0.901 ± 0.186
8_celeba,8.0,SOD,0.900 ± 0.128
8_celeba,9.0,COPOD,0.900 ± 0.191
8_celeba,10.0,ECOD,0.895 ± 0.208
8_celeba,11.0,HBOS,0.888 ± 0.205
8_celeba,12.0,DAGMM,0.828 ± 0.211
8_celeba,13.0,COF,0.826 ± 0.325
8_celeba,14.0,LOF,0.811 ± 0.324
9_census,1.0,CBLOF,0.976 ± 0.046
9_census,2.0,MSDE,0.957 ± 0.055
9_census,3.0,IForest,0.945 ± 0.042
9_census,4.0,OCSVM,0.937 ± 0.125
9_census,5.0,DAGMM,0.937 ± 0.065
9_census,6.0,PCA,0.932 ± 0.117
9_census,7.0,KNN,0.912 ± 0.153
9_census,8.0,LODA,0.902 ± 0.186
9_census,9.0,COPOD,0.870 ± 0.157
9_census,10.0,HBOS,0.845 ± 0.141
9_census,11.0,ECOD,0.844 ± 0.178
9_census,12.0,SOD,0.773 ± 0.333
9_census,13.0,COF,0.745 ± 0.430
9_census,14.0,LOF,0.691 ± 0.420
