dataset,rank,method,score
17_InternetAds,12.0,LODA,0.847 ± 0.265
17_InternetAds,13.0,COF,0.833 ± 0.289
17_InternetAds,14.0,SOD,0.814 ± 0.322
18_Ionosphere,1.0,MSDE,0.910 ± 0.101
18_Ionosphere,2.0,SOD,0.910 ± 0.126
18_Ionosphere,3.0,CBLOF,0.907 ± 0.103
18_Ionosphere,4.0,KNN,0.898 ± 0.167
18_Ionosphere,5.0,IForest,0.891 ± 0.088
18_Ionosphere,6.0,COF,0.851 ± 0.222
18_Ionosphere,7.0,LOF,0.850 ± 0.257
18_Ionosphere,8.0,PCA,0.850 ± 0.153
18_Ionosphere,9.0,COPOD,0.838 ± 0.160
18_Ionosphere,10.0,HBOS,0.834 ± 0.176
18_Ionosphere,11.0,OCSVM,0.799 ± 0.116
18_Ionosphere,12.0,ECOD,0.794 ± 0.129
18_Ionosphere,13.0,LODA,0.747 ± 0.152
18_Ionosphere,14.0,DAGMM,0.694 ± 0.078
19_landsat,1.0,IForest,0.943 ± 0.071
19_landsat,2.0,MSDE,0.938 ± 0.081
19_landsat,3.0,KNN,0.897 ± 0.159
19_landsat,4.0,CBLOF,0.886 ± 0.141
19_landsat,5.0,SOD,0.880 ± 0.190
19_landsat,6.0,OCSVM,0.865 ± 0.151
19_landsat,7.0,PCA,0.858 ± 0.155
19_landsat,8.0,LOF,0.852 ± 0.269
19_landsat,9.0,ECOD,0.843 ± 0.162
19_landsat,10.0,LODA,0.842 ± 0.109
19_landsat,11.0,COF,0.841 ± 0.269
19_landsat,12.0,HBOS,0.838 ± 0.165
19_landsat,13.0,DAGMM,0.831 ± 0.110
19_landsat,14.0,COPOD,0.810 ± 0.131
20_letter,1.0,CBLOF,0.988 ± 0.014
20_letter,2.0,MSDE,0.987 ± 0.016
20_letter,3.0,SOD,0.984 ± 0.029
20_letter,4.0,KNN,0.981 ± 0.023
20_letter,5.0,IForest,0.974 ± 0.033
20_letter,6.0,LODA,0.943 ± 0.084
20_letter,7.0,OCSVM,0.934 ± 0.119
20_letter,8.0,PCA,0.929 ± 0.129
20_letter,9.0,ECOD,0.918 ± 0.149
20_letter,10.0,HBOS,0.908 ± 0.158
20_letter,11.0,COPOD,0.908 ± 0.141
